fault_name,expected_microservice,rank,num_with_same_score,,,
0docker_007,docker_007,5,1,,,
10docker_006,docker_006,6,1,,,
11docker_001,docker_001,7,1,,top1,0.12
12docker_006,docker_006,1,1,,top3,0.2
13docker_005,docker_005,6,1,,top5,0.36
14docker_007,docker_007,6,1,,ES,3.2
15docker_001,docker_001,1,1,,MAR,5.72
16docker_007,docker_007,6,1,,ASP,1
18docker_001,docker_001,7,1,,,
1docker_001,docker_001,7,1,,,
20docker_002,docker_002,5,1,,,
22docker_008,docker_008,9,1,,,
26docker_003,docker_003,10,1,,,
27docker_006,docker_006,7,1,,,
28docker_004,docker_004,5,1,,,
2docker_008,docker_008,7,1,,,
30docker_006,docker_006,7,1,,,
32docker_002,docker_002,9,1,,,
3docker_008,docker_008,7,1,,,
4docker_004,docker_004,1,1,,,
5docker_006,docker_006,7,1,,,
6docker_006,docker_006,8,1,,,
7docker_003,docker_003,4,1,,,
8docker_004,docker_004,2,1,,,
9docker_004,docker_004,3,1,,,
